region;year;poverty_percent;population;disabled_total;disabled_18_30;disabled_31_40;disabled_41_50;disabled_51_60;disabled_60_plus;newborns;child_deaths_urban;child_deaths_rural;poor_children_share;poor_old_share;poor_working_share;hh_no_crowding;hh_some_crowding;hh_high_crowding;area_total_per_capita;area_living_per_capita;rooms_per_hh;hh_plan_improve;drug_alco_rate;workers_share;cash_income_per_capita;real_incomes_index;formal_wage_paid;real_wage_index;welfare_expense_share;grp_per_capita;industry_total;mining;manufacturing;energy;water_waste;retail_turnover;crime_juveniles;crime_repeat_offenders;crime_prev_convicted;crime_group;crime_group_prep;crime_organized_group;crime_criminal_community;crime_intox_alcohol;crime_intox_narcotic;crime_intox_toxic;poor_abs;production_pc;retail_to_income;birth_rate_per_1000;infant_mortality_per_1000;disabled_per_1000
Московская область;2015;8.3;7231068.0;;;;;;;87252.0;413.0;39.0;;;;;;;;;;;;76.7;38463.0;97.5;40643.0;91.1;15.3;437249.1;2370049252.1800003;15495486.9;2086348910.38;268204854.9;;237152.0;;;;;;;;;;;600178.6440000001;327.7592261862287;6.165717702727297;12.066267389547436;5.180397010956769;
Московская область;2016;7.8;7318647.0;;;;;;;80375.0;393.0;44.0;;;;;;;;;;;;76.9;41276.0;99.7;42656.0;96.3;20.3;570678.7;2465906957.25;12273113.97;2161204874.63;292428968.65;;257951.0;1048.0;22069.0;14964.0;475.0;3473.0;322.0;35.0;11761.0;1976.0;6.0;570854.466;336.9348128486044;6.249418548308944;10.982221167382441;5.43701399688958;
Московская область;2017;7.9;7423470.0;427172.0;17605.0;25867.0;33802.0;71436.0;278462.0;82279.0;320.0;47.0;42.8;6.7;50.5;;;;;;;;;78.3;42345.0;100.0;46836.0;105.7;18.6;574838.0;2693255545.05;13869594.7;2328070910.42;279036305.49;72278734.44;280515.0;890.0;20531.0;13999.0;348.0;3173.0;355.0;26.0;10505.0;1849.0;2.0;586454.13;362.8027788958533;6.624512929507616;11.083630701006403;4.460433403420071;57.5434399276888
Московская область;2018;7.3;7503385.0;426256.0;16848.0;26489.0;34826.0;69512.0;278581.0;62257.0;311.0;30.0;38.4;6.7;54.9;;;;;;;;37.7;76.7;44707.0;102.6;51938.0;106.5;18.0;615059.9;2995367047.61;12744378.6;2600340207.06;287727587.95;94554874.0;311893.0;748.0;20536.0;14093.0;245.0;3405.0;376.0;30.0;10381.0;1555.0;1.0;547747.105;399.20209980029017;6.976379537879974;8.297188535574278;5.47729572578184;56.80849376648006
Московская область;2019;7.3;7599647.0;418741.0;16247.0;26431.0;35496.0;66873.0;273694.0;67969.0;267.0;29.0;49.1;11.5;39.3;;;;;;;;33.1;76.6;47201.0;102.1;55555.0;102.2;19.0;670800.3;3403149807.6;15399185.4;3014481197.2;276445386.0;96824039.0;337814.0;767.0;20996.0;14939.0;259.0;3280.0;451.0;23.0;9397.0;1050.0;0.0;554774.231;447.8036687230341;7.156924641427088;8.943704885240063;4.354926510615134;55.10005925275213
Московская область;2020;6.8;7690863.0;406341.0;15874.0;26331.0;35918.0;63675.0;264543.0;65008.0;220.0;26.0;49.9;5.7;44.4;77.8;17.3;4.4;22.3;14.8;2.1;11.0;28.3;75.2;47046.0;97.8;58066.0;101.8;19.4;683845.1;3523377685.76;13840410.0;3116645931.94;278649519.01;114241824.81;347566.0;767.0;21162.0;14852.0;262.0;3455.0;481.0;17.0;9491.0;714.0;0.0;522978.684;458.1251396312742;7.387790672958381;8.452627487968515;3.7841496431208466;52.834252801018565
Мурманская область;2015;12.7;766281.0;;;;;;;9099.0;53.0;1.0;;;;;;;;;;;;83.9;36747.0;93.8;45989.0;92.0;16.4;525475.7;311293148.9;106425986.2;147939773.7;56927389.0;;201079.0;;;;;;;;;;;97317.68699999999;406.2388978716684;5.471984107546194;11.874234125601443;5.934718100890208;
Мурманская область;2016;12.0;762173.0;;;;;;;8566.0;32.0;1.0;;;;;;;;;;;;85.0;37359.0;94.2;48986.0;99.2;18.1;614565.5;326203992.77;124267226.4;139900746.91;62036019.46;;203655.0;495.0;4869.0;2360.0;30.0;319.0;18.0;2.0;2804.0;46.0;1.0;91460.76;427.99206055580555;5.451296876254718;11.23891819836179;3.8524398785897733;
Мурманская область;2017;11.3;757621.0;28836.0;1581.0;2305.0;2975.0;4724.0;17251.0;7820.0;41.0;1.0;42.3;2.8;54.8;;;;;;;;;83.8;39273.0;100.2;51932.0;101.7;25.9;634409.5;336319619.9;107972566.2;160154261.7;58975777.8;9217014.2;216425.0;266.0;4275.0;2144.0;11.0;256.0;24.0;1.0;2178.0;33.0;3.0;85611.17300000001;443.91538764105;5.510783489929468;10.321783583084418;5.370843989769821;38.06124698233022
Мурманская область;2018;9.9;753557.0;28053.0;1512.0;2348.0;3020.0;4487.0;16686.0;7397.0;39.0;3.0;38.5;5.9;55.5;;;;;;;;50.7;84.3;41564.0;102.0;58045.0;108.4;24.4;693988.6;348939659.2;96258308.2;185431317.6;57998716.0;9251317.4;225992.0;283.0;3887.0;1964.0;14.0;310.0;33.0;0.0;1853.0;22.0;0.0;74602.143;463.0567550961639;5.43720527379463;9.816112118923984;5.6779775584696495;37.22744264866493
